	NIntermedia8761	NcraNC12	Ndis8579	Nhispaniola8817	Nmetzenbergii10397	NsitophilaW1434	Ntet10752L9	Ntet2503L8	Ntet2508L6	Ntet9045L7
OG0000941	maker-unitig_3|quiver-augustus-gene-0.992-mRNA-1	XP_963274.1	jgi|Neudi1|83648|estExt_Genewise1.C_100148	maker-scaffold213-augustus-gene-0.202-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1639-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1382-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1275-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1414-mRNA-1	XP_009851793.1	maker-9045pb_lg2-augustus-gene-3.1532-mRNA-1
OG0000942	maker-unitig_3|quiver-augustus-gene-0.980-mRNA-1	XP_963411.3	jgi|Neudi1|127994|estExt_fgenesh2_pg.C_100037	maker-scaffold213-augustus-gene-0.213-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1794-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1393-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1287-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1315-mRNA-1	XP_009851758.1	maker-9045pb_lg2-augustus-gene-3.1421-mRNA-1
OG0000943	augustus-unitig_3|quiver-processed-gene-0.89-mRNA-1	XP_963570.1	jgi|Neudi1|102095|estExt_Genewise1Plus.C_100226	augustus-scaffold2585-processed-gene-0.1-mRNA-1	augustus-10397pb_lg2-processed-gene-3.484-mRNA-1	augustus-W1434pb_lg2-processed-gene-3.356-mRNA-1	augustus-10752pb_lg2-processed-gene-3.327-mRNA-1	augustus-2503pb_lg2.2-processed-gene-1.367-mRNA-1	XP_009851837.1	augustus-9045pb_lg2-processed-gene-3.391-mRNA-1
OG0000944	maker-unitig_3|quiver-augustus-gene-0.994-mRNA-1	XP_963609.1	jgi|Neudi1|102027|estExt_Genewise1Plus.C_100151	maker-scaffold3440-augustus-gene-0.41-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1641-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1380-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1273-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1412-mRNA-1	XP_009851796.1	maker-9045pb_lg2-augustus-gene-3.1530-mRNA-1
OG0000945	augustus-unitig_3|quiver-processed-gene-0.61-mRNA-1	XP_963180.1	jgi|Neudi1|157514|estExt_fgenesh3_pm.C_100075	augustus-scaffold213-processed-gene-0.5-mRNA-1	snap_masked-10397pb_lg2-processed-gene-3.871-mRNA-1	augustus-W1434pb_lg2-processed-gene-3.91-mRNA-1	augustus-10752pb_lg2-processed-gene-3.83-mRNA-1	augustus-2503pb_lg2.2-processed-gene-1.100-mRNA-1	XP_009851775.1	augustus-9045pb_lg2-processed-gene-3.107-mRNA-1
OG0000946	augustus-unitig_3|quiver-processed-gene-0.46-mRNA-1	XP_958293.1	jgi|Neudi1|101948|estExt_Genewise1Plus.C_100063	augustus-scaffold213-processed-gene-0.61-mRNA-1	augustus-10397pb_lg2-processed-gene-3.522-mRNA-1	augustus-W1434pb_lg2-processed-gene-3.398-mRNA-1	augustus-10752pb_lg2-processed-gene-3.372-mRNA-1	augustus-2503pb_lg2.2-processed-gene-1.415-mRNA-1	XP_009851751.1	augustus-9045pb_lg2-processed-gene-3.434-mRNA-1
OG0000947	augustus-unitig_3|quiver-processed-gene-0.27-mRNA-1	XP_958195.1	jgi|Neudi1|164508|fgenesh3_kg.23__19__47_1_CCSY	maker-scaffold199-augustus-gene-0.223-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1806-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1408-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1300-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1440-mRNA-1	XP_009851709.1	maker-9045pb_lg2-augustus-gene-3.1561-mRNA-1
OG0000948	augustus-unitig_3|quiver-processed-gene-0.16-mRNA-1	XP_963211.1	jgi|Neudi1|115105|fgenesh2_pg.C_scaffold_23000008	augustus-scaffold199-processed-gene-0.3-mRNA-1	augustus-10397pb_lg2-processed-gene-3.549-mRNA-1	augustus-W1434pb_lg2-processed-gene-3.428-mRNA-1	augustus-10752pb_lg2-processed-gene-3.403-mRNA-1	augustus-2503pb_lg2.2-processed-gene-1.448-mRNA-1	XP_009851680.1	augustus-9045pb_lg2-processed-gene-3.466-mRNA-1
OG0000949	augustus-unitig_3|quiver-processed-gene-0.106-mRNA-1	XP_963419.1	jgi|Neudi1|128078|estExt_fgenesh2_pg.C_100136	augustus-scaffold3361-processed-gene-0.0-mRNA-1	augustus-10397pb_lg2-processed-gene-3.466-mRNA-1	augustus-W1434pb_lg2-processed-gene-3.340-mRNA-1	augustus-10752pb_lg2-processed-gene-3.311-mRNA-1	augustus-2503pb_lg2.2-processed-gene-1.350-mRNA-1	XP_009851881.1	augustus-9045pb_lg2-processed-gene-3.374-mRNA-1
OG0000950	augustus-unitig_3|quiver-processed-gene-0.67-mRNA-1	XP_963275.1	jgi|Neudi1|102022|estExt_Genewise1Plus.C_100146	augustus-scaffold213-processed-gene-0.41-mRNA-1	augustus-10397pb_lg2-processed-gene-3.127-mRNA-1	augustus-W1434pb_lg2-processed-gene-3.378-mRNA-1	augustus-10752pb_lg2-processed-gene-3.352-mRNA-1	augustus-2503pb_lg2.2-processed-gene-1.392-mRNA-1	XP_009851792.1	augustus-9045pb_lg2-processed-gene-3.413-mRNA-1
