	NIntermedia8761	NcraNC12	Ndis8579	Nhispaniola8817	Nmetzenbergii10397	NsitophilaW1434	Ntet10752L9	Ntet2503L8	Ntet2508L6	Ntet9045L7
OG0000947	augustus-unitig_3|quiver-processed-gene-0.27-mRNA-1	XP_958195.1	jgi|Neudi1|164508|fgenesh3_kg.23__19__47_1_CCSY	maker-scaffold199-augustus-gene-0.223-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1806-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1408-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1300-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1440-mRNA-1	XP_009851709.1	maker-9045pb_lg2-augustus-gene-3.1561-mRNA-1
OG0000948	augustus-unitig_3|quiver-processed-gene-0.16-mRNA-1	XP_963211.1	jgi|Neudi1|115105|fgenesh2_pg.C_scaffold_23000008	augustus-scaffold199-processed-gene-0.3-mRNA-1	augustus-10397pb_lg2-processed-gene-3.549-mRNA-1	augustus-W1434pb_lg2-processed-gene-3.428-mRNA-1	augustus-10752pb_lg2-processed-gene-3.403-mRNA-1	augustus-2503pb_lg2.2-processed-gene-1.448-mRNA-1	XP_009851680.1	augustus-9045pb_lg2-processed-gene-3.466-mRNA-1
OG0000951	augustus-unitig_3|quiver-processed-gene-0.33-mRNA-1	XP_958349.1	jgi|Neudi1|21828|scaffold_23-snap.57.1	augustus-scaffold199-processed-gene-0.19-mRNA-1	augustus-10397pb_lg2-processed-gene-3.533-mRNA-1	augustus-W1434pb_lg2-processed-gene-3.411-mRNA-1	augustus-10752pb_lg2-processed-gene-3.385-mRNA-1	augustus-2503pb_lg2.2-processed-gene-1.430-mRNA-1	XP_009851722.1	augustus-9045pb_lg2-processed-gene-3.448-mRNA-1
OG0000959	maker-unitig_3|quiver-augustus-gene-0.959-mRNA-1	XP_963204.1	jgi|Neudi1|169697|estExt_fgenesh3_kg.C_230005	augustus-scaffold199-processed-gene-0.6-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1812-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1415-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1307-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1447-mRNA-1	XP_009851687.1	maker-9045pb_lg2-augustus-gene-3.1568-mRNA-1
OG0000960	augustus-unitig_3|quiver-processed-gene-0.30-mRNA-1	XP_001727985.1	jgi|Neudi1|129708|estExt_fgenesh2_pg.C_230042	maker-scaffold199-snap-gene-0.259-mRNA-1	augustus-10397pb_lg2-processed-gene-3.535-mRNA-1	augustus-W1434pb_lg2-processed-gene-3.413-mRNA-1	augustus-10752pb_lg2-processed-gene-3.388-mRNA-1	augustus-2503pb_lg2.2-processed-gene-1.433-mRNA-1	XP_009851719.1	augustus-9045pb_lg2-processed-gene-3.451-mRNA-1
OG0000964	augustus-unitig_3|quiver-processed-gene-0.18-mRNA-1	XP_963206.2	jgi|Neudi1|129681|estExt_fgenesh2_pg.C_230013	augustus-scaffold199-processed-gene-0.5-mRNA-1	augustus-10397pb_lg2-processed-gene-3.547-mRNA-1	maker-W1434pb_lg2-snap-gene-3.1629-mRNA-1	augustus-10752pb_lg2-processed-gene-3.401-mRNA-1	augustus-2503pb_lg2.2-processed-gene-1.446-mRNA-1	XP_009851685.1	maker-9045pb_lg2-snap-gene-3.1809-mRNA-1
OG0000967	augustus-unitig_3|quiver-processed-gene-0.23-mRNA-1	XP_963225.2	jgi|Neudi1|106219|estExt_Genewise1Plus.C_230053	augustus-scaffold199-processed-gene-0.10-mRNA-1	augustus-10397pb_lg2-processed-gene-3.542-mRNA-1	augustus-W1434pb_lg2-processed-gene-3.421-mRNA-1	maker-10752pb_lg2-snap-gene-3.1514-mRNA-1	maker-2503pb_lg2.2-snap-gene-1.1665-mRNA-1	XP_009851697.1	maker-9045pb_lg2-snap-gene-3.1805-mRNA-1
OG0000970	maker-unitig_3|quiver-augustus-gene-0.962-mRNA-1	XP_963226.2	jgi|Neudi1|21797|scaffold_23-snap.26.1	maker-scaffold199-augustus-gene-0.220-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1809-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1411-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1303-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1444-mRNA-1	XP_009851696.1	maker-9045pb_lg2-augustus-gene-3.1565-mRNA-1
OG0000976	maker-unitig_3|quiver-augustus-gene-0.964-mRNA-1	XP_958194.1	jgi|Neudi1|169710|estExt_fgenesh3_kg.C_230018	maker-scaffold199-augustus-gene-0.222-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1807-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1409-mRNA-1	augustus-10752pb_lg2-processed-gene-3.393-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1441-mRNA-1	XP_009851708.1	maker-9045pb_lg2-augustus-gene-3.1562-mRNA-1
OG0000983	augustus-unitig_3|quiver-processed-gene-0.20-mRNA-1	XP_963230.2	jgi|Neudi1|169702|estExt_fgenesh3_kg.C_230010	maker-scaffold199-snap-gene-0.251-mRNA-1	maker-10397pb_lg2-snap-gene-3.2092-mRNA-1	maker-W1434pb_lg2-snap-gene-3.1627-mRNA-1	maker-10752pb_lg2-snap-gene-3.1517-mRNA-1	maker-2503pb_lg2.2-snap-gene-1.1667-mRNA-1	XP_009851692.1	maker-9045pb_lg2-snap-gene-3.1807-mRNA-1
